citekey,type,year
coretta-casillas-roettger_amps-article_2023,Article,in press
jimenez-casillas_tcb-article_2021,Article,2021
casillas_languages-article_2021,Article,2021
casillas_ssla-article_2020,Article,2021
casillas_ll-article_2020,Article,2020
casillas_las-article_2020,Article,2020
sagarra-lozano-casillas_blc-article_2019,Article,2020
casillas-simonet_jphon-article_2018,Article,2018
sagarra-casillas_jsls-article_2018,Article,2018
bessett-casillas-ramirez_spic-article_2017,Article,2017
llmopart-casillas_jasael-article_2016,Article,2016
casillas-simonet_slr-article_2016,Article,2016
casillas_phonetica-article_2015,Article,2015
casillas_icphs-article_2019,InProceedings,2019
casillas-diaz-simonet_icphs-article_2015,InProceedings,2015
simonet-casillas-diaz_sp7-article_2014,InProceedings,2014
casillas_wss6-article_2013,InProceedings,2013
casillas_routledge-review_2017,Article,2017
casillas-bessett_df-table_2013,Book,2013
colina_fgc-book_2013,Book,2013
casillas_divergencias-article_2012,Article,2012
casillas_ghm-article_2010,Article,2010
casillas_ghm-article_2009,Article,2009
casillas-etal_ap-article_2023,Book,under review
casillas-simonet-aldrich_coronals-article_NA,Book,in preparation
casillas_semproc-article_NA,Book,in preparation
casillas_stress-article_NA,Book,in preparation
sagarra-casillas_lexstress-article_NA,Book,in preparation
sagarra-casillas_frontiers-article_NA,Book,in preparation
casillas_ds4ling-rpackage_NA,Electronic,2021
casillas_contributoR-rpackage_NA,Electronic,2020
casillas_academicWriteR-rpackage_NA,Electronic,2018
casillas_untidydata-rpackage_NA,Electronic,2018
casillas_lingStuff-rpackage_NA,Electronic,2017
casillas_r4ling-shiny_NA,Electronic,2018
casillas_clt-shiny_NA,Electronic,2018
casillas_blr-shiny_NA,Electronic,2018
casillas_glm-shiny_NA,Electronic,2018
casillas_crossover-shiny_NA,Electronic,2018
casillas_power-shiny_NA,Electronic,2018
casillas_distinctivefeatures-shiny_NA,Electronic,2017
casillas_rsnippets-prog_NA,Electronic,2017
casillas_latexipa-prog_NA,Electronic,2017
sagarra-casillas_eurosla-pres_2021,Misc,2021
lozano-sagarra-casillas_isbpac-pres_2021,Misc,2021
casillas_caspslap-pres_2020,Misc,2020
casillas_wise-pres_2020,Misc,2020
casillas_hlsA-pres_2019,Misc,2019
casillas_hlsB-pres_2019,Misc,2019
simonet-casillas_coloq-pres_2019,Misc,2019
colina-diaz-casillas_hls-pres_2018,Misc,2018
lozano-sagarra-casillas_hls-pres_2018,Misc,2018
lozano-sagarra-casillas_isbpac-pres_2018,Misc,2018
lozano-sagarra-casillas_isb-pres_2017,Misc,2017
casillas_hlsA-pres_2017,Misc,2017
casillas_hlsB-pres_2017,Misc,2017
casillas_slrf-pres_2017,Misc,2017
casillas_lsrlA-pres_2017,Misc,2017
casillas_lsrlB-pres_2017,Misc,2017
casillas_sshl-pres_2017,Misc,2017
casillas_hls-pres_2016,Misc,2016
simonet-casillas-osborne_soundword-pres_2016,Misc,2016
simonet-casillas-osborne_ipsp-pres_2016,Misc,2016
simonet-casillas-osborne_slat-pres_2016,Misc,2016
casillas-diaz-simonet_hls-pres_2015,Misc,2015
bessett-casillas-martinez_wss7-pres_2014,Misc,2014
casillas_slrf-pres_2013,Misc,2013
casillas_papi-pres_2013,Misc,2013
casillas_wss6-pres_2013,Misc,2013
casillas_symp-pres_2012,Misc,2012
casillas_symp-pres_2011,Misc,2011
casillas_share-pres_2011,Misc,2011
casillas_icphs-poster_2019,Misc,2019
lozano-sagarra-casillas_iicped-poster_2018,Misc,2018
sagarra-casillas_sbl2p-poster_2018,Misc,2018
lozano-sagarra-casillas_bap-poster_2018,Misc,2018
ramirez-casillas_wss8-poster_2016,Misc,2016
casillas-diaz-simonet_icphs-poster_2015,Misc,2015
simonet-casillas-diaz_hls-poster_2014,Misc,2014
simonet-casillas-diaz_sp7-poster_2014,Misc,2014
casillas_pplc-poster_2013,Misc,2013
chang-gomez-casillas_arestyUNREF-poster_2021,Misc,2021
field-casillas_arestyUNREF-poster_2020,Misc,2020
casillas_middUNREF-pres_2017,Misc,2017
sagarra-casillas-lozano-eriksson_arestyUNREF-poster_2017,Misc,2017
sagarra-casillas-lozano-rodriguez_pcsf11-poster_2017,Misc,2017
casillas_anwA-talk_2018,Misc,2018
casillas_amwB-talk_2018,Misc,2018
casillas_dmlwc-talk_2017,Misc,2017
casillas_slat-talk_2014,Misc,2014
casillas_rmdgit-ws_2021,Misc,2021
casillas-coretta-roettger_bayes-ws_2021,Misc,2021
casillas_publishing-ws_2020,Misc,2020
casillas_jobmarket-ws_2018,Misc,2019
casillas_jobmarket-ws_2019,Misc,2019
casillas_pronunciation-ws_2018,Misc,2018
casillas_psychopy-ws_2017,Misc,2017
casillas_hped-ws_2017,Misc,2017
casillas_rmarkdown-ws_2015,Misc,2015
casillas_qualtrics-ws_2015,Misc,2015
casillas_psychopy-ws_2014,Misc,2014
casillas_latex-ws_2014,Misc,2014
